DMmass,Operator 1,Operator 3,Operator 4,Operator 5,Operator 6,Operator 7,Operator 8,Operator 9,Operator 10,Operator 11,Operator 12,Operator 13,Operator 14,Operator 15,Operator 17,Operator 18,Operator 19,Operator 20
5,4.104313390177904e+35,7.590770648762407e+26,2.0150554336586277e+35,6.545200191516032e+25,5.446362983314546e+25,6.92901101913673e+29,1.8919530190073e+30,3.284361476834006e+30,2.463354920081483e+30,1.0714277715708508e+31,1.384326446968081e+30,9.124862268056116e+24,8.589132312646681e+24,6.189947281349439e+23,1.6363000478790096e+25,1.6422086759023302e+30,2.319062193947401e+27,2.720310754198512e+25
10,2.2520580776524143e+35,1.1625060045343374e+28,1.0725326804062009e+35,2.301152699475227e+26,5.653847035816384e+25,3.462377182152431e+29,1.0195659296630456e+30,2.1904791968094777e+30,1.6437986491251158e+30,2.19175062908778e+31,2.70593898884905e+30,1.1776750257805411e+25,5.479151631824521e+24,3.143422733714371e+25,5.752881748688071e+25,1.0955526822440747e+30,2.9079857546758343e+28,2.733946623162061e+25
20,1.0305080814832156e+35,7.899594273959819e+28,4.700395260829713e+34,8.33405792222018e+26,9.546334563595362e+25,1.3963478076963313e+29,5.277275320371595e+29,1.1336848291638763e+30,8.55354727087297e+29,3.4256037004507857e+31,5.994263511902628e+30,4.004837793753814e+25,2.6468013359807546e+24,5.824356507478895e+26,2.083514480555045e+26,5.685394496534017e+29,1.2393893376376903e+29,3.590669678957611e+25
35,4.661697224126787e+34,1.5288945527522983e+29,2.0662848859822271e+34,1.5432310458774296e+27,1.7298876430186398e+26,5.788372858651428e+28,3.269145890294633e+29,5.513746610216051e+29,4.243347463440886e+29,2.5745443475068724e+31,6.707957244504613e+30,8.947518690315371e+25,1.2323492702826212e+24,2.0079314678280312e+27,3.858077614693574e+26,2.7928858070343144e+29,1.2940746642238075e+29,4.492536383879229e+25
50,2.6365731421910507e+34,1.5518731717257637e+29,1.147940239730579e+34,1.861620175124354e+27,2.2187898020303653e+26,3.1290183324023485e+28,2.45943000875851e+29,3.232876524149996e+29,2.5591438181789964e+29,1.7933249890640064e+31,5.57918857748662e+30,1.1903536126244532e+26,7.139448929003647e+23,2.5573374007896427e+27,4.6540504378108856e+26,1.6612670704304986e+29,9.82796873680208e+28,4.530171110545865e+25
100,7.934360641021326e+33,9.660722208604998e+28,3.319549365465264e+33,1.8345699507080257e+27,2.5293240411976023e+26,8.755544109574649e+27,1.3781231733247777e+29,1.0332191552669312e+29,9.086700215234508e+28,7.89398416424603e+30,2.879575415090126e+30,1.344959038745786e+26,2.3069920589306837e+23,1.9742387521379373e+27,4.586424876770064e+26,5.611947959912166e+28,5.688365587192586e+28,3.72556504076209e+25
250,1.4523091797795992e+33,3.621921587343016e+28,5.772566574082166e+32,1.0594103810623652e+27,1.744807883863154e+26,1.4941108730323276e+27,5.493706626283324e+28,2.123978657005117e+28,2.3618040558090224e+28,2.4063831231666477e+30,9.04335306959779e+29,8.725446901827025e+25,4.951784100238484e+22,9.472424945174418e+26,2.6485259526559138e+26,1.3182626828542867e+28,3.690322859687252e+28,2.276553771220809e+25
300,1.0262361042099008e+33,2.893930842973361e+28,4.044774605049147e+32,9.00290621846256e+26,1.5284678801355064e+26,1.0448084469067308e+27,4.445916147702677e+28,1.54912849873641e+28,1.814566792219239e+28,1.858219608733026e+30,6.955661231022395e+29,7.548806773251449e+25,3.631975447055232e+22,8.066174933807448e+26,2.25072655461564e+26,9.921377220905164e+27,3.1849772520077976e+28,1.986554469515175e+25
500,3.838167813404888e+32,1.4628073750399672e+28,1.482202510772131e+32,5.199285172517367e+26,9.507724744360638e+25,3.813441864221044e+26,2.3018023752554564e+28,6.380401800491702e+27,8.543648749854621e+27,8.803639002782445e+29,3.157051756922211e+29,4.552500890043297e+25,1.5015913718521935e+22,4.91281165746994e+26,1.2998212931293418e+26,4.44298336674113e+27,1.990904412789544e+28,1.238344968655752e+25
800,1.537680892387806e+32,7.323413437762155e+27,5.847684975739131e+31,2.7719870877470893e+26,5.331777930103583e+25,1.5011024165599015e+26,1.1456630264960672e+28,2.778150135902753e+27,4.081906198171204e+27,4.3224926823234974e+29,1.4351378459739875e+29,2.500616792923107e+25,6.481112895115507e+21,2.9048154516480477e+26,6.929967719367726e+25,2.0551729333660896e+27,1.210906838433488e+28,7.004148525792076e+24
1000,9.935825319875357e+31,5.172178052419718e+27,3.754982847206127e+31,1.979076759145483e+26,3.874277001772176e+25,9.631688653985928e+25,7.989729426044249e+27,1.8556833289022848e+27,2.816841503226872e+27,3.047321760365479e+29,9.70722247881251e+28,1.8042727252812623e+25,4.303985199823637e+21,2.204087220035484e+26,4.947691897863708e+25,1.402867999967864e+27,9.279907061269412e+27,5.109579378082816e+24
3000,1.1371311564557704e+31,7.890110460984736e+26,4.209107294640304e+30,2.939952158431413e+25,6.015987579007245e+24,1.077429063744713e+25,1.1182208433021436e+27,2.339507115763336e+26,3.864294346380392e+26,4.652688074118676e+28,1.2686784635803823e+28,2.7542542998566656e+24,5.305242676909047e+20,4.237177099445755e+25,7.349880396078507e+24,1.872974894400966e+26,1.802521369284518e+27,8.023758346456257e+23
5000,4.12084407762284e+30,3.048432530162744e+26,1.5179417097494923e+30,1.1174954120068175e+25,2.303890392240756e+24,3.8839548307827694e+24,4.206319087140605e+26,8.642270637411857e+25,1.449502741567206e+26,1.7967957619737057e+28,4.7272903579159136e+27,1.0518599535480111e+24,1.9496359730866864e+20,1.7163886234403513e+25,2.793738530017044e+24,6.992243464576974e+25,7.285565323300351e+26,3.078769491991115e+23
8000,1.6157681226222653e+30,1.2385179969438334e+26,5.935302970582079e+29,4.495197511067849e+24,9.303260436897377e+23,1.5183129708811952e+24,1.6827903611584525e+26,3.424203245984299e+25,5.790338091632201e+25,7.296605875689421e+27,1.8824811354166275e+27,4.24152936141595e+23,7.702629812783138e+19,7.149375497431338e+24,1.1237993777669532e+24,2.7861635087068067e+25,3.029624075479992e+26,1.2444384968778644e+23
10000,1.0354009147215622e+30,8.0291710300074e+25,3.79989008284625e+29,2.904549454460388e+24,6.0185617647458495e+23,9.71976974430083e+23,1.0854275324127769e+26,2.2017665291241907e+25,3.733068315971836e+25,4.729515601110432e+27,1.2124621869987825e+27,2.7427317892144697e+23,4.94809258727996e+19,4.671610143426665e+24,7.26137363615097e+23,1.794797737604996e+25,1.978501905968483e+26,8.053074377973512e+22
